Commodity,Contract Month,Price
TMF,2023-05,-2.1
TMF,2023-06,-2.35
TMF,2023-07,-3.3
TMF,2023-08,-3.45
TMF,2023-09,-3.6
TMF,2023-10,-3.25
TMF,2023-11,-0.15
TMF,2023-12,-0.2
TMF,2024-01,-0.15
TMF,2024-02,0.1
TMF,2024-03,-0.7
TMF,2024-04,-1.8
TMF,2024-05,-1.9
TMF,2024-06,-2
TMF,2024-07,-2.65
TMF,2024-08,-3.05
TMF,2024-09,-3.45
TMF,2024-10,-3.1
TMF,2024-11,-2.45
TMF,2024-12,-1.8
TMF,2025-01,-1.8
TMF,2025-02,-1.8
TMF,2025-03,-1.8
TMF,2025-04,-1.8
TMF,2025-05,-1.8
TMF,2025-06,-1.8
TMF,2025-07,-1.8
TMF,2025-08,-1.8
TMF,2025-09,-1.8
TMF,2025-10,-1.8
TMF,2025-11,-1.8
TMF,2025-12,-1.8
