Commodity,Contract Month,Price
TMF,May-23,-2.1
TMF,Jun-23,-2.35
TMF,Jul-23,-3.3
TMF,Aug-23,-3.45
TMF,Sep-23,-3.6
TMF,Oct-23,-3.25
TMF,Nov-23,-0.15
TMF,Dec-23,-0.2
TMF,Jan-24,-0.15
TMF,Feb-24,0.1
TMF,Mar-24,-0.7
TMF,Apr-24,-1.8
TMF,May-24,-1.9
TMF,Jun-24,-2
TMF,Jul-24,-2.65
TMF,Aug-24,-3.05
TMF,Sep-24,-3.45
TMF,Oct-24,-3.1
TMF,Nov-24,-2.45
TMF,Dec-24,-1.8
TMF,Jan-25,-1.8
TMF,Feb-25,-1.8
TMF,Mar-25,-1.8
TMF,Apr-25,-1.8
TMF,May-25,-1.8
TMF,Jun-25,-1.8
TMF,Jul-25,-1.8
TMF,Aug-25,-1.8
TMF,Sep-25,-1.8
TMF,Oct-25,-1.8
TMF,Nov-25,-1.8
TMF,Dec-25,-1.8
