Commodity Name,Contract Month,Price
TMW,2023-05,-15
TMW,2023-06,-14.8
TMW,2023-07,-14.5
TMW,2023-08,-14.75
TMW,2023-09,-15.75
TMW,2023-10,-16.45
TMW,2023-11,-16.65
TMW,2023-12,-17.15
TMW,2024-01,-17
TMW,2024-02,-16.25
TMW,2024-03,-15.5
TMW,2024-04,-15.5
TMW,2024-05,-15.45
TMW,2024-06,-15.4
TMW,2024-07,-15.85
TMW,2024-08,-16.25
TMW,2024-09,-16.95
TMW,2024-10,-17.7
TMW,2024-11,-17.95
TMW,2024-12,-18.2
TMW,2025-01,-18.2
TMW,2025-02,-18.2
TMW,2025-03,-18.2
TMW,2025-04,-18.2
TMW,2025-05,-18.2
TMW,2025-06,-18.2
TMW,2025-07,-18.2
TMW,2025-08,-18.2
TMW,2025-09,-18.2
TMW,2025-10,-18.2
TMW,2025-11,-18.2
TMW,2025-12,-18.2
